,Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy
10700,10701,Scribblenauts Unmasked: A DC Comics Adventure,3DS,Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
10701,10702,Murder in Venice,DS,City Interactive,0.06,0.03,0,0.01,0.1,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10702,10703,Nancy Drew: The Model Mysteries,DS,THQ,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA
10703,10704,Ride,XOne,Milestone S.r.l.,0.04,0.05,0,0.01,0.1,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA
10704,10705,Naruto Shippuden: Gekito Ninja Taisen! EX,Wii,Takara Tomy,0,0,0.1,0,0.1,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
10705,10706,Universal Studios Theme Parks Adventure,GC,Kemco,0.08,0.02,0,0,0.1,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA
10706,10707,Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,Nintendo,0,0,0.1,0,0.1,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA
10707,10708,Little League World Series Baseball 2010,X360,Activision,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
10708,10709,Piglet's Big Game,PS2,Gotham Games,0.05,0.04,0,0.01,0.1,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA
10709,10710,Real Bout Garou Densetsu,SAT,SNK,0,0,0.1,0,0.1,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
10710,10711,Arcania: Gothic 4,X360,JoWood Productions,0.03,0.04,0.01,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA
10711,10712,Ben 10 Galactic Racing,X360,D3Publisher,0.07,0.02,0,0.01,0.1,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA
10712,10713,Project FIFA World Cup,PS2,Electronic Arts,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA
10713,10714,System Flaw,DS,Enjoy Gaming ltd.,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA
10714,10715,Rio,X360,THQ,0.05,0.03,0,0.01,0.1,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA
10715,10716,Rocky: Legends,XB,Ubisoft,0.07,0.02,0,0,0.1,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10716,10717,Lord of Apocalypse,PSP,Square Enix,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA
10717,10718,The BIGS 2,PSP,Take-Two Interactive,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
10718,10719,Horse Life Adventures,DS,Deep Silver,0.08,0.01,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
10719,10720,iCarly 2: iJoin The Click!,Wii,Activision,0.08,0.01,0,0.01,0.1,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10720,10721,Burnout Paradise: The Ultimate Box,PC,Electronic Arts,0,0.08,0,0.01,0.1,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA
10721,10722,Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,Nintendo,0,0,0.1,0,0.1,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10722,10723,The Secret Saturdays: Beasts of the 5th Sun,Wii,D3Publisher,0.09,0,0,0.01,0.1,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10723,10724,Winter Stars,X360,Deep Silver,0.05,0.04,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
10724,10725,Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS,Alchemist,0,0,0.1,0,0.1,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10725,10726,Star Trek: Shattered Universe,PS2,Global Star,0.05,0.04,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA
10726,10727,The Land Before Time: Great Valley Racing Adventure,PS,TDK Mediactive,0.05,0.04,0,0.01,0.1,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA
10727,10728,Ultra Street Fighter IV,PS4,Capcom,0,0.08,0,0.01,0.1,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
10728,10729,Animal Planet: Vet Life,Wii,Activision,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA
10729,10730,Cubic Ninja,3DS,Ubisoft,0.05,0.04,0,0.01,0.1,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
10730,10731,Championship Pony,DS,"Destination Software, Inc",0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
10731,10732,Harvest Moon: Frantic Farming,DS,Rising Star Games,0.08,0.01,0,0.01,0.1,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA
10732,10733,Rise of the Tomb Raider,PC,Square Enix,0,0.09,0,0.01,0.1,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10733,10734,Pinball Hall of Fame: The Williams Collection,3DS,Crave Entertainment,0.09,0,0,0.01,0.1,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA
10734,10735,Persona 5,PS3,Unknown,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA
10735,10736,Power Stone Collection,PSP,Capcom,0.08,0,0,0.01,0.1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10736,10737,MTX Mototrax,XB,Activision,0.07,0.02,0,0,0.1,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA
10737,10738,Blast Chamber,PS,Activision,0.05,0.04,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA
10738,10739,Thor: God of Thunder,3DS,Sega,0.06,0.03,0,0.01,0.1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10739,10740,Mana Khemia: Student Alliance,PSP,Nippon Ichi Software,0.05,0,0.03,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA
10740,10741,Retro Game Challenge (US sales),DS,Namco Bandai Games,0.1,0,0,0,0.1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10741,10742,EyeToy: Operation Spy,PS2,Sony Computer Entertainment,0.05,0.04,0,0.01,0.1,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10742,10743,Zoo Tycoon (2013),X360,Microsoft Game Studios,0.02,0.07,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA
10743,10744,MotoGP 07,PS2,Capcom,0.05,0.04,0,0.01,0.1,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA
10744,10745,Touch Detective,DS,505 Games,0.06,0.03,0,0.01,0.1,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10745,10746,Option Tuning Car Battle,PS,MTO,0,0,0.09,0.01,0.1,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA,NA,NA
10746,10747,Rapala Pro Bass Fishing 2010,DS,Activision,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
10747,10748,Derby Jockey 2,SNES,Asmik Corp,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA
10748,10749,Famicom Mini: Mappy,GBA,Nintendo,0,0,0.09,0,0.1,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA
10749,10750,Reign of Fire,XB,BAM! Entertainment,0.07,0.02,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA
10750,10751,Descent Maximum,PS,Interplay Productions,0.05,0.04,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,1997,NA,NA,NA
10751,10752,Disney Sing It! High School Musical 3: Senior Year,X360,Disney Interactive Studios,0.09,0,0,0.01,0.1,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA
10752,10753,"Blast Works: Build, Trade, Destroy",Wii,Eidos Interactive,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA
10753,10754,Resident Evil: Revelations 2,XOne,Capcom,0.07,0.02,0,0.01,0.1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10754,10755,Major League Baseball 2K11,DS,Take-Two Interactive,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
10755,10756,Shining Force EXA,PS2,Sega,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA
10756,10757,Virtual Pro Wrestling,PS,Asmik Ace Entertainment,0,0,0.09,0.01,0.1,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
10757,10758,Wasteland 2,PC,inXile Entertainment,0.02,0.06,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA
10758,10759,Shadow Tower,PS,From Software,0.01,0.01,0.07,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA,NA
10759,10760,Luminous Arc 2 (JP sales),DS,Unknown,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA
10760,10761,Ninja Reflex,DS,Electronic Arts,0.09,0,0,0.01,0.1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10761,10762,Dragon Ball: Evolution,PSP,Namco Bandai Games,0.09,0,0,0.01,0.1,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
10762,10763,Red Bull BC One,DS,Playlogic Game Factory,0.09,0,0,0.01,0.1,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA
10763,10764,Heatseeker,Wii,Codemasters,0.08,0,0,0.01,0.1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10764,10765,Watchmen: The End is Nigh Part 1 & 2,X360,Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.1,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10765,10766,Ford Racing 3,DS,Zoo Digital Publishing,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA
10766,10767,Ice Age 2: The Meltdown,XB,Vivendi Games,0.07,0.02,0,0,0.1,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
10767,10768,Guilty Gear Isuka,PS2,505 Games,0.05,0.04,0,0.01,0.1,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
10768,10769,MySims SkyHeroes,X360,Electronic Arts,0.09,0,0,0.01,0.1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10769,10770,NASCAR Unleashed,PS3,Activision,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA
10770,10771,Shadow Master,PS,Psygnosis,0.05,0.04,0,0.01,0.1,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10771,10772,Global Touring Challenge: Africa,PS2,Rage Software,0.05,0.04,0,0.01,0.1,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA
10772,10773,Jikkyou Powerful Pro Yakyuu 2013,PSV,Konami Digital Entertainment,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
10773,10774,Dead or Alive 5,PSV,Tecmo Koei,0,0.05,0.03,0.02,0.1,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
10774,10775,Tokimeki Memorial: Taisen Pazurudama,PS,Konami Digital Entertainment,0,0,0.09,0.01,0.1,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA
10775,10776,InuYasha: Secret of the Divine Jewel,DS,Namco Bandai Games,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA
10776,10777,MotoGP 2,XB,THQ,0.07,0.02,0,0,0.1,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA
10777,10778,Pro Yakyuu Famista DS,DS,Namco Bandai Games,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
10778,10779,Ultimate Muscle - The Kinnikuman Legacy: The Path of the Superhero,GBA,Banpresto,0.05,0.02,0.03,0,0.1,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
10779,10780,BIT.TRIP COMPLETE,Wii,Rising Star Games,0.06,0.02,0,0.01,0.1,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA
10780,10781,EyeCreate,PS3,Sony Computer Entertainment,0,0.08,0,0.02,0.1,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA
10781,10782,Skylanders: Spyro's Adventure,PC,Activision,0.05,0.03,0,0.01,0.1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10782,10783,Paws & Claws: Pet Vet,Wii,THQ,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA
10783,10784,Touch Mechanic,DS,Nintendo,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
10784,10785,Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,PSV,Gust,0,0,0.1,0,0.1,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10785,10786,Ar tonelico: Melody of Elemia,PS2,505 Games,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA
10786,10787,Man vs. Wild,X360,Crave Entertainment,0.09,0,0,0.01,0.1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10787,10788,Sol Trigger,PSP,Image Epoch,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA
10788,10789,Pony Friends 2,Wii,Eidos Interactive,0.04,0.05,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA
10789,10790,Castlevania Double Pack,GBA,Konami Digital Entertainment,0.07,0.03,0,0,0.1,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
10790,10791,Ballistic: Ecks vs. Sever,GBA,BAM! Entertainment,0.07,0.03,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA
10791,10792,Jikkyou Powerful Pro Yakyuu 11,GC,Konami Digital Entertainment,0,0,0.09,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA
10792,10793,Steel Battalion,XB,Microsoft Game Studios,0.05,0.02,0.02,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA
10793,10794,The Daring Game for Girls,Wii,Unknown,0.09,0,0,0.01,0.1,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10794,10795,Glory Days 2,DS,Ghostlight,0.08,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
10795,10796,Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama,DS,Blast! Entertainment Ltd,0.09,0,0,0.01,0.1,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10796,10797,Street Fighter Collection,PS,Capcom,0,0,0.09,0.01,0.1,NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
10797,10798,thinkSMART,DS,Conspiracy Entertainment,0.09,0,0,0.01,0.1,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA
10798,10799,Digimon Story: Super Xros Wars Blue/Red,DS,Namco Bandai Games,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA
10799,10800,Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,Konami Digital Entertainment,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
10800,10801,Mind Quiz,PSP,Ubisoft,0.08,0.01,0,0.01,0.1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10801,10802,Populous DS,DS,Rising Star Games,0.07,0,0.02,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008
10802,10803,Who Wants to Be A Millionaire?,X360,Ubisoft,0.09,0,0,0.01,0.1,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA
10803,10804,Bladestorm: The Hundred Years' War,X360,Tecmo Koei,0.08,0.01,0,0.01,0.1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10804,10805,Cartoon Network: Punch Time Explosion,3DS,Deep Silver,0.07,0.02,0,0.01,0.1,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
10805,10806,Imagine: Reporter,DS,Ubisoft,0.08,0.01,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA
10806,10807,Disney Planes Fire & Rescue,3DS,Disney Interactive Studios,0.01,0.08,0,0.01,0.1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10807,10808,MX SuperFly featuring Ricky Carmichael,XB,THQ,0.07,0.02,0,0,0.1,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA
10808,10809,Gokuhou!! Mecha Mote Iinchou: MM Town de Miracle Change!,DS,Konami Digital Entertainment,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA
10809,10810,Natural Doctrine,PS4,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA
10810,10811,SNK vs. Capcom Card Fighters DS,DS,Ignition Entertainment,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
10811,10812,Mystery Stories: Curse of the Ancient Spirits,DS,GSP,0.05,0.04,0,0.01,0.1,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10812,10813,Kuroko's Basketball: Miracle Game,3DS,Namco Bandai Games,0,0,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA
10813,10814,Minority Report: Everybody Runs,XB,Activision,0.07,0.02,0,0,0.1,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10814,10815,MindJack,X360,Square Enix,0.07,0.02,0,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA
10815,10816,ReCore,XOne,Microsoft Game Studios,0.06,0.03,0,0.01,0.1,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10816,10817,NASCAR,PSP,Electronic Arts,0.09,0,0,0.01,0.1,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA
10817,10818,Halo 2,PC,Microsoft Game Studios,0.01,0.06,0,0.02,0.1,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA
10818,10819,Shox,PS2,Electronic Arts,0.05,0.04,0,0.01,0.09,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA
10819,10820,Unou no Tatsujin: Soukai! Machigai Museum 2,DS,Namco Bandai Games,0,0,0.09,0,0.09,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA
10820,10821,Playboy: The Mansion,XB,Ubisoft,0.07,0.02,0,0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA
10821,10822,The X-Factor,X360,Deep Silver,0,0.08,0,0.01,0.09,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA
10822,10823,Gundam Breaker,PSV,Namco Bandai Games,0,0,0.09,0,0.09,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10823,10824,Neo Atlas,PS,ArtDink,0,0,0.09,0.01,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998
10824,10825,Jaws: Ultimate Predator,Wii,Majesco Entertainment,0.09,0,0,0.01,0.09,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10825,10826,Disney's Aladdin in Nasira's Revenge,PS,Sony Computer Entertainment,0.05,0.04,0,0.01,0.09,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10826,10827,Kiniro no Corda 3,PSP,Tecmo Koei,0,0,0.09,0,0.09,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10827,10828,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GC,Activision,0.07,0.02,0,0,0.09,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10828,10829,Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,Namco Bandai Games,0,0,0.09,0,0.09,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10829,10830,Winning Post 6,PS2,Tecmo Koei,0,0,0.09,0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA
10830,10831,Egg Monster Hero,DS,Square Enix,0,0,0.09,0,0.09,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA
10831,10832,Rock Band Country Track Pack 2,Wii,MTV Games,0.09,0,0,0.01,0.09,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA
10832,10833,Darkest of Days,X360,Phantom EFX,0.09,0,0,0.01,0.09,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA
10833,10834,Whacked!,XB,Microsoft Game Studios,0.07,0.02,0,0,0.09,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA
10834,10835,Ghostbusters: The Video Game (DS Version),PC,Take-Two Interactive,0,0.08,0,0.02,0.09,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10835,10836,Barnyard,PS2,THQ,0.05,0.04,0,0.01,0.09,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10836,10837,Big League Sports: Summer,Wii,Activision,0.09,0,0,0.01,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
10837,10838,Angry Birds: Rio,PC,Focus Home Interactive,0,0.07,0,0.02,0.09,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA
10838,10839,Dance on Broadway,PS3,Ubisoft,0.05,0.03,0,0.01,0.09,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA
10839,10840,Risen 3: Titan Lords,PC,Deep Silver,0,0.08,0,0.01,0.09,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA
10840,10841,Dungeons,PC,Kalypso Media,0.07,0.02,0,0.01,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
10841,10842,Pac-Man World 3,GC,Namco Bandai Games,0.07,0.02,0,0,0.09,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA
10842,10843,SingStar Apres-Ski Party 2,PS3,Sony Computer Entertainment,0,0.07,0,0.02,0.09,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA
10843,10844,Raven Squad: Operation Hidden Dagger,X360,Evolved Games,0.08,0.01,0,0.01,0.09,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA
10844,10845,Rocky,GC,Rage Software,0.07,0.02,0,0,0.09,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
10845,10846,Gundam Breaker 3,PS4,Namco Bandai Games,0,0,0.09,0,0.09,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10846,10847,Crash 'N' Burn,XB,Eidos Interactive,0.07,0.02,0,0,0.09,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA
10847,10848,Medieval II: Total War,PC,Sega,0,0.08,0,0.02,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
10848,10849,NFL Blitz 20-02,XB,Midway Games,0.07,0.02,0,0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA
10849,10850,Metal Fight Beyblade,DS,Hudson Soft,0,0,0.09,0,0.09,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10850,10851,Robots,XB,Vivendi Games,0.07,0.02,0,0,0.09,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10851,10852,Speed Kings,PS2,Acclaim Entertainment,0.05,0.04,0,0.01,0.09,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA
10852,10853,Monopoly Collection,Wii,Electronic Arts,0.02,0.07,0,0.01,0.09,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA
10853,10854,The King of Fighters XIV,PS4,Deep Silver,0.04,0.01,0.03,0.01,0.09,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
10854,10855,Langrisser V: The End of Legend,SAT,NCS,0,0,0.09,0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998
10855,10856,FIFA Street 3,DS,Electronic Arts,0.07,0.02,0,0.01,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
10856,10857,PhotoKano,PSP,Kadokawa Shoten,0,0,0.09,0,0.09,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10857,10858,Ouchi Mainichi Tamagotchi,3DS,Namco Bandai Games,0,0,0.09,0,0.09,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10858,10859,Fresh PreCure! Asobi Collection,DS,Namco Bandai Games,0,0,0.09,0,0.09,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10859,10860,Populous: The Beginning,PS,Electronic Arts,0.05,0.04,0,0.01,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998
10860,10861,Rygar: The Battle of Argus,Wii,Rising Star Games,0.09,0,0,0.01,0.09,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10861,10862,Chess,PS,Success,0.05,0.04,0,0.01,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001
10862,10863,Rosco McQueen: Firefighter Extreme,PS,Sony Computer Entertainment,0.05,0.04,0,0.01,0.09,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10863,10864,Terranigma,SNES,Nintendo,0,0,0.09,0,0.09,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,NA
10864,10865,PAC-MAN and the Ghostly Adventures,3DS,Namco Bandai Games,0.05,0.04,0,0.01,0.09,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
10865,10866,The Voice,WiiU,Activision,0.08,0,0,0.01,0.09,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
